id	name	category	provided_by
GOLD:ga0116161	ga0116161	biolink:Attribute	GOLD
GOLD:gp0138835	gp0138835	biolink:Attribute	GOLD
GOLD:ga0116193	ga0116193	biolink:Attribute	GOLD
GOLD:gp0138788	gp0138788	biolink:Attribute	GOLD
GOLD:ga0116184	ga0116184	biolink:Attribute	GOLD
GOLD:gp0138805	gp0138805	biolink:Attribute	GOLD
GOLD:ga0116155	ga0116155	biolink:Attribute	GOLD
GOLD:gp0138822	gp0138822	biolink:Attribute	GOLD
GOLD:ga0116162	ga0116162	biolink:Attribute	GOLD
GOLD:gp0138783	gp0138783	biolink:Attribute	GOLD
GOLD:ga0116164	ga0116164	biolink:Attribute	GOLD
GOLD:gp0138785	gp0138785	biolink:Attribute	GOLD
GOLD:ga0116154	ga0116154	biolink:Attribute	GOLD
GOLD:gp0138821	gp0138821	biolink:Attribute	GOLD
GOLD:ga0116151	ga0116151	biolink:Attribute	GOLD
GOLD:gp0138781	gp0138781	biolink:Attribute	GOLD
GOLD:ga0116152	ga0116152	biolink:Attribute	GOLD
GOLD:gp0138782	gp0138782	biolink:Attribute	GOLD
GOLD:ga0116156	ga0116156	biolink:Attribute	GOLD
GOLD:gp0138819	gp0138819	biolink:Attribute	GOLD
GOLD:ga0116178	ga0116178	biolink:Attribute	GOLD
GOLD:gp0138829	gp0138829	biolink:Attribute	GOLD
GOLD:ga0116157	ga0116157	biolink:Attribute	GOLD
GOLD:gp0138823	gp0138823	biolink:Attribute	GOLD
